mouse,month,treatment,hotspots,ln2volume
#022,1,UV,0,13.42521971
#009,1,UV,0,13.42612678
#303,1,UV,0,13.42884458
#263,1,UV,0,13.4306536
#006,1,UV,0,13.43155726
#022,1,UV,0,13.43155726
#131,1,UV,0,13.43155726
#303,1,UV,0,13.43246035
#289,1,UV,0,13.43336288
#258,1,UV,0,13.43426485
#263,1,UV,0,13.43516625
#303,1,UV,0,13.43606709
#003,1,UV,0,13.43696737
#009,1,UV,0,13.43876624
#281,1,UV,0,13.43876624
#006,1,UV,0,13.44235727
#006,1,UV,0,13.44325363
#009,1,UV,0,13.44504469
#974,1,UV,0,13.44504469
#970,1,UV,0,13.44772711
#131,1,UV,0,13.45129593
#009,1,UV,0,13.45218676
#303,1,UV,0,13.45218676
#974,1,UV,0,13.45218676
#009,1,UV,0,13.45307704
#970,1,UV,0,13.45307704
#006,1,UV,0,13.45485595
#003,1,UV,0,13.45663266
#303,1,UV,0,13.45663266
#131,1,UV,0,13.4575202
#006,1,UV,0,13.4584072
#131,1,UV,0,13.45929365
#263,1,UV,0,13.45929365
#282,1,UV,0,13.45929365
#317,1,UV,0,13.46017955
#289,1,UV,0,13.46106491
#263,1,UV,0,13.462834
#009,1,UV,0,13.46371774
#009,1,UV,0,13.46460093
#970,1,UV,0,13.46460093
#317,1,UV,0,13.46548358
#258,1,UV,0,13.46724727
#974,1,UV,0,13.4681283
#131,1,UV,0,13.4690088
#003,1,UV,0,13.47076818
#003,1,UV,0,13.47076818
#317,1,UV,0,13.4760335
#009,1,UV,0,13.47778434
#263,1,UV,0,13.47778434
#006,1,UV,0,13.47953307
#258,1,UV,0,13.48040663
#303,1,UV,0,13.48040663
#970,1,UV,0,13.48040663
#974,1,UV,0,13.48040663
#303,1,UV,0,13.48127967
#974,1,UV,0,13.48127967
#009,1,UV,0,13.48215218
#289,1,UV,0,13.48215218
#289,1,UV,0,13.48215218
#258,1,UV,0,13.48476655
#970,1,UV,0,13.48476655
#006,1,UV,0,13.48563695
#289,1,UV,0,13.48650683
#303,1,UV,0,13.48650683
#282,1,UV,0,13.48737619
#281,1,UV,0,13.48911333
#022,1,UV,0,13.48998111
#006,1,UV,0,13.49084838
#258,1,UV,0,13.49258135
#974,1,UV,0,13.49431223
#022,1,UV,0,13.4951769
#281,1,UV,0,13.49776779
#289,1,UV,0,13.50035404
#303,1,UV,0,13.50035404
#974,1,UV,0,13.50035404
#006,1,UV,0,13.50207563
#970,1,UV,0,13.50465418
#282,1,UV,0,13.50722812
#263,1,UV,0,13.50894154
#003,1,UV,0,13.50979748
#258,1,UV,0,13.50979748
#970,1,UV,0,13.51065292
#009,1,UV,0,13.51492251
#970,1,UV,0,13.51747822
#970,1,UV,0,13.51747822
#263,1,UV,0,13.51832912
#022,1,UV,0,13.5208788
#258,1,UV,0,13.5208788
#263,1,UV,0,13.5208788
#009,1,UV,0,13.52257609
#974,1,UV,0,13.52257609
#282,1,UV,0,13.52342398
#022,1,UV,0,13.52511828
#131,1,UV,0,13.52511828
#258,1,UV,0,13.52850092
#022,1,UV,0,13.53018927
#282,1,UV,0,13.53018927
#289,1,UV,0,13.53018927
#289,1,UV,0,13.53018927
#303,1,UV,0,13.53018927
#258,1,UV,0,13.53103271
#131,1,UV,0,13.53187565
#009,1,UV,0,13.53356006
#009,1,UV,0,13.53356006
#263,1,UV,0,13.53440152
#303,1,UV,0,13.53440152
#258,1,UV,0,13.5352425
#009,1,UV,0,13.53776249
#009,1,UV,0,13.53944004
#003,1,UV,0,13.54027809
#291,1,UV,0,13.54195272
#003,1,UV,0,13.54278931
#289,1,UV,0,13.54278931
#282,1,UV,0,13.54696498
#258,1,UV,0,13.5494646
#317,1,UV,0,13.5494646
#009,1,UV,0,13.55029684
#289,1,UV,0,13.55029684
#974,1,UV,0,13.55029684
#258,1,UV,0,13.55112861
#303,1,UV,0,13.55195989
#009,1,UV,0,13.5527907
#263,1,UV,0,13.5527907
#003,1,UV,0,13.55610915
#258,1,UV,0,13.56107255
#282,1,UV,0,13.56107255
#258,1,UV,0,13.56189813
#970,1,UV,0,13.56189813
#258,1,UV,0,13.56354787
#282,1,UV,0,13.56354787
#006,1,UV,0,13.56437203
#282,1,UV,0,13.56437203
#317,1,UV,0,13.56519572
#022,1,UV,0,13.56601894
#258,1,UV,0,13.56601894
#974,1,UV,0,13.57012802
#317,1,UV,0,13.57258786
#006,1,UV,0,13.57340687
#022,1,UV,0,13.57586113
#009,1,UV,0,13.57667829
#003,1,UV,0,13.57749499
#006,1,UV,0,13.57749499
#003,1,UV,0,13.57912699
#258,1,UV,0,13.57994231
#303,1,UV,0,13.57994231
#303,1,UV,0,13.57994231
#131,1,UV,0,13.58075716
#022,1,UV,0,13.58238548
#289,1,UV,0,13.58238548
#974,1,UV,0,13.58319896
#258,1,UV,0,13.58563663
#303,1,UV,0,13.58888046
#303,1,UV,0,13.58888046
#291,1,UV,0,13.59049965
