mouse_id,month,treatment,clade_volume,ln2volume
#303,m3,No UV,14175.50912,13.79111293
#317,m3,No UV,14196.26389,13.79322368
#003,m3,No UV,14203.18215,13.79392657
#263,m3,No UV,14217.01866,13.79533134
#303,m3,No UV,14223.93692,13.79603321
#263,m3,No UV,14251.60995,13.79883728
#009,m3,No UV,14279.28298,13.80163592
#006,m3,No UV,14320.79252,13.80582371
#009,m3,No UV,14327.71078,13.8065205
#003,m3,No UV,14348.46555,13.80860884
#317,m3,No UV,14355.38381,13.80930428
#974,m3,No UV,14362.30206,13.80999939
#289,m3,No UV,14376.13858,13.8113886
#289,m3,No UV,14376.13858,13.8113886
#006,m3,No UV,14431.48464,13.8169321
#970,m3,No UV,14431.48464,13.8169321
#006,m3,No UV,14500.66721,13.82383166
#131,m3,No UV,14507.58547,13.82451981
#003,m3,No UV,14521.42198,13.82589511
#317,m3,No UV,14521.42198,13.82589511
#289,m3,No UV,14535.2585,13.82726911
#291,m3,No UV,14535.2585,13.82726911
#291,m3,No UV,14542.17675,13.82795562
#006,m3,No UV,14583.6863,13.83206781
#291,m3,No UV,14590.60455,13.83275204
#289,m3,No UV,14625.19584,13.83616832
#131,m3,No UV,14632.1141,13.83685061
#263,m3,No UV,14639.03235,13.83753257
#009,m3,No UV,14652.86887,13.83889554
#022,m3,No UV,14687.46015,13.84229732
#970,m3,No UV,14694.37841,13.84297671
#263,m3,No UV,14708.21493,13.84433454
#282,m3,No UV,14708.21493,13.84433454
#003,m3,No UV,14715.13318,13.84501298
#009,m3,No UV,14722.05144,13.8456911
#263,m3,No UV,14722.05144,13.8456911
#317,m3,No UV,14749.72447,13.84840038
#303,m3,No UV,14777.3975,13.85110459
#022,m3,No UV,14791.23401,13.8524548
#006,m3,No UV,14798.15227,13.85312943
#022,m3,No UV,14798.15227,13.85312943
#291,m3,No UV,14798.15227,13.85312943
#006,m3,No UV,14805.07053,13.85380374
#263,m3,No UV,14818.90704,13.85515143
#006,m3,No UV,14825.8253,13.8558248
#006,m3,No UV,14867.33484,13.85985843
#263,m3,No UV,14867.33484,13.85985843
#263,m3,No UV,14874.2531,13.86052961
#289,m3,No UV,14936.51742,13.86655619
#291,m3,No UV,14957.27219,13.86855947
#974,m3,No UV,14957.27219,13.86855947
#970,m3,No UV,14971.1087,13.86989345
#291,m3,No UV,15005.69999,13.873223
#291,m3,No UV,15012.61825,13.87388799
#303,m3,No UV,15054.12779,13.8778715
#009,m3,No UV,15074.88256,13.87985914
#317,m3,No UV,15074.88256,13.87985914
#317,m3,No UV,15095.63733,13.88184405
#970,m3,No UV,15102.55559,13.88250508
#006,m3,No UV,15123.31036,13.88448635
#022,m3,No UV,15157.90165,13.88778243
#281,m3,No UV,15171.73816,13.88909876
#006,m3,No UV,15296.26679,13.90089197
#131,m3,No UV,15310.10331,13.9021964
#303,m3,No UV,15310.10331,13.9021964
#291,m3,No UV,15337.77634,13.90480172
#131,m3,No UV,15372.36762,13.90805176
#022,m3,No UV,15420.79542,13.91258956
#131,m3,No UV,15427.71368,13.91323666
#291,m3,No UV,15441.5502,13.91452997
#291,m3,No UV,15448.46845,13.9151762
#291,m3,No UV,15455.38671,13.91582213
#003,m3,No UV,15462.30497,13.91646778
#291,m3,No UV,15538.4058,13.92355087
#009,m3,No UV,15559.16057,13.92547661
#022,m3,No UV,15586.8336,13.92804026
#009,m3,No UV,15593.75186,13.92868046
#303,m3,No UV,15600.67011,13.92932038
#022,m3,No UV,15607.58837,13.92996001
#022,m3,No UV,15628.34314,13.93187722
#009,m3,No UV,15642.17966,13.93315394
#289,m3,No UV,15656.01617,13.93442953
#291,m3,No UV,15697.52571,13.93824956
#131,m3,No UV,15704.44397,13.93888524
#291,m3,No UV,15732.117,13.9414252
#317,m3,No UV,15745.95352,13.9426935
#006,m3,No UV,15759.79003,13.94396069
#317,m3,No UV,15759.79003,13.94396069
#009,m3,No UV,15766.70829,13.94459387
#022,m3,No UV,15766.70829,13.94459387
#263,m3,No UV,15773.62654,13.94522677
#281,m3,No UV,15828.9726,13.95028
#291,m3,No UV,15863.56389,13.9534293
#006,m3,No UV,15877.4004,13.9546871
#131,m3,No UV,15891.23692,13.9559438
#263,m3,No UV,15905.07343,13.95719941
#317,m3,No UV,15960.41949,13.96221095
#282,m3,No UV,16008.84729,13.96658181
#317,m3,No UV,16015.76555,13.96720514
#006,m3,No UV,16036.52032,13.96907351
#282,m3,No UV,16057.27509,13.97093947
#006,m3,No UV,16098.78464,13.97466416
#003,m3,No UV,16154.13069,13.9796155
#281,m3,No UV,16154.13069,13.9796155
#970,m3,No UV,16154.13069,13.9796155
#131,m3,No UV,16167.96721,13.98085068
#263,m3,No UV,16223.31327,13.98578087
#317,m3,No UV,16230.23152,13.98639596
#009,m3,No UV,16244.06804,13.98762535
#263,m3,No UV,16250.98629,13.98823966
#303,m3,No UV,16257.90455,13.9888537
#006,m3,No UV,16278.65932,13.99069427
#003,m3,No UV,16285.57758,13.99130727
#022,m3,No UV,16334.00538,13.99559099
#131,m3,No UV,16368.59667,13.99864302
#003,m3,No UV,16410.10621,14.00229696
#291,m3,No UV,16423.94273,14.00351288
#009,m3,No UV,16437.77924,14.00472778
#263,m3,No UV,16444.6975,14.00533485
#974,m3,No UV,16493.1253,14.00957718
#317,m3,No UV,16583.06264,14.01742286
#974,m3,No UV,16583.06264,14.01742286
#006,m3,No UV,16610.73567,14.01982835
#022,m3,No UV,16610.73567,14.01982835
#022,m3,No UV,16652.24522,14.02342909
#131,m3,No UV,16693.75476,14.02702086
#006,m3,No UV,16728.34605,14.03000719
#131,m3,No UV,16762.93733,14.03298735
#006,m3,No UV,16769.85559,14.03358264
#303,m3,No UV,16783.6921,14.0347725
#974,m3,No UV,16797.52862,14.03596137
#289,m3,No UV,16818.28339,14.03774284
#006,m3,No UV,16839.03816,14.03952211
#970,m3,No UV,16887.46596,14.04366524
#263,m3,No UV,16922.05725,14.04661735
#291,m3,No UV,16928.97551,14.04720705
#006,m3,No UV,16956.64853,14.04956343
#974,m3,No UV,16963.56679,14.05015193
#006,m3,No UV,16984.32156,14.05191597
#022,m3,No UV,17005.07634,14.05367786
#022,m3,No UV,17053.50414,14.05778059
#970,m3,No UV,17115.76845,14.06303845
#263,m3,No UV,17129.60497,14.06420426
#006,m3,No UV,17150.35974,14.06595122
#291,m3,No UV,17171.11451,14.06769606
#006,m3,No UV,17184.95102,14.06885812
#291,m3,No UV,17254.1336,14.07465441
#009,m3,No UV,17371.74397,14.08445497
#303,m3,No UV,17392.49874,14.0861776
#303,m3,No UV,17413.25351,14.08789816
#003,m3,No UV,17420.17177,14.08847123
