,mouse_id,month,treatment,structure_volume,distribution_volume
241,#003,m1,UV,15.23568222,0.007091168
242,#003,m1,UV,14.72778248,0.007091168
243,#003,m1,UV,13.11233676,0.007091168
244,#003,m1,UV,14.37302111,0.007091168
245,#003,m1,UV,13.28025662,0.007323665
246,#003,m1,UV,14.19820751,0.007323665
247,#003,m1,UV,13.59937284,0.007323665
248,#003,m1,UV,15.57831122,0.007323665
249,#003,m1,UV,14.09018906,0.007323665
250,#003,m1,UV,18.39249854,0.007323665
251,#003,m1,UV,13.72409932,0.007323665
252,#003,m1,UV,13.11796131,0.007323665
253,#003,m1,UV,19.08549597,0.007585225
254,#003,m1,UV,13.47076819,0.007585225
255,#003,m1,UV,13.12356401,0.007585225
256,#003,m1,UV,15.90105509,0.007585225
257,#003,m1,UV,17.01877644,0.007585225
258,#003,m1,UV,13.19555012,0.007585225
259,#003,m1,UV,13.28925787,0.007585225
260,#003,m1,UV,13.95908078,0.007585225
261,#003,m1,UV,17.52770883,0.007585225
262,#003,m1,UV,13.00229696,0.007759598
263,#003,m1,UV,14.57545238,0.007759598
264,#003,m1,UV,16.31335793,0.007759598
265,#003,m1,UV,15.29174828,0.007759598
266,#003,m1,UV,15.77536109,0.007759598
267,#003,m1,UV,14.62764236,0.007759598
268,#003,m1,UV,14.20138993,0.007933971
269,#003,m1,UV,13.50979748,0.007933971
270,#003,m1,UV,13.11120921,0.007933971
271,#003,m1,UV,19.59014561,0.007933971
272,#003,m1,UV,15.33754419,0.007933971
273,#003,m1,UV,18.95482461,0.007933971
274,#003,m1,UV,16.56540157,0.008050219
275,#003,m1,UV,17.18292734,0.008050219
276,#003,m1,UV,19.98503087,0.008050219
277,#003,m1,UV,17.33591618,0.008050219
278,#003,m1,UV,19.17601833,0.008282717
279,#003,m1,UV,16.88794704,0.008282717
280,#003,m1,UV,17.15836937,0.008282717
281,#003,m1,UV,18.3923245,0.008282717
282,#003,m1,UV,19.8580846,0.008282717
283,#003,m1,UV,19.70195279,0.008282717
284,#003,m1,UV,18.78250612,0.008282717
285,#003,m1,UV,17.92788016,0.008282717
286,#003,m1,UV,15.3183743,0.008398965
287,#003,m1,UV,15.82038601,0.008398965
288,#003,m1,UV,16.5230001,0.008398965
289,#003,m1,UV,15.91646778,0.008398965
290,#003,m1,UV,17.84136263,0.008486152
291,#003,m1,UV,17.11339303,0.008486152
292,#003,m1,UV,16.1042837,0.008486152
293,#003,m1,UV,16.08201107,0.008544276
294,#003,m1,UV,16.03268961,0.008544276
295,#003,m1,UV,15.92547661,0.008834898
