,mouse_id,month,treatment,structure_volume,distribution_volume
503,#003,m1,UV,13.20615043,0.030593773
504,#006,m2,UV,13.20615043,0.030593773
505,#009,m3,UV,13.20615043,0.030593773
506,#291,m2,UV,13.20615043,0.030593773
507,#303,m1,UV,13.20615043,0.030593773
508,#009,m2,UV,13.20720619,0.030714458
509,#022,m5,UV,13.20720619,0.030714458
510,#303,m3,UV,13.20826118,0.030774801
511,#022,m4,UV,13.20931539,0.030835144
512,#009,m4,UV,13.21036884,0.030895486
513,#022,m2,UV,13.21142152,0.031257543
514,#258,m1,UV,13.21142152,0.031257543
515,#258,m2,UV,13.21142152,0.031257543
516,#289,m3,UV,13.21142152,0.031257543
517,#317,m3,UV,13.21142152,0.031257543
518,#974,m1,UV,13.21142152,0.031257543
519,#970,m3,UV,13.21247343,0.031378228
520,#970,m4,UV,13.21247343,0.031378228
521,#006,m4,UV,13.21352457,0.031498914
522,#131,m3,UV,13.21352457,0.031498914
523,#263,m2,UV,13.21457495,0.031619599
524,#970,m6,UV,13.21457495,0.031619599
525,#003,m6,UV,13.21562456,0.031740285
526,#009,m4,UV,13.21562456,0.031740285
527,#006,m6,UV,13.21667342,0.031981656
528,#281,m2,UV,13.21667342,0.031981656
529,#282,m1,UV,13.21667342,0.031981656
530,#317,m3,UV,13.21667342,0.031981656
531,#003,m6,UV,13.21772151,0.032102341
532,#009,m4,UV,13.21772151,0.032102341
533,#258,m1,UV,13.21876883,0.03228337
534,#317,m1,UV,13.21876883,0.03228337
535,#974,m3,UV,13.21876883,0.03228337
536,#258,m1,UV,13.2198154,0.032404055
537,#303,m1,UV,13.2198154,0.032404055
538,#006,m1,UV,13.22086121,0.032826454
539,#006,m2,UV,13.22086121,0.032826454
540,#009,m1,UV,13.22086121,0.032826454
541,#009,m3,UV,13.22086121,0.032826454
542,#022,m2,UV,13.22086121,0.032826454
543,#258,m1,UV,13.22086121,0.032826454
544,#291,m2,UV,13.22086121,0.032826454
545,#131,m1,UV,13.2239941,0.033007483
546,#970,m6,UV,13.2239941,0.033007483
547,#974,m2,UV,13.2239941,0.033007483
548,#006,m5,UV,13.22607892,0.033248853
549,#131,m2,UV,13.22607892,0.033248853
550,#258,m1,UV,13.22607892,0.033248853
551,#258,m2,UV,13.22607892,0.033248853
552,#009,m4,UV,13.2271202,0.033309196
553,#022,m1,UV,13.22816073,0.033369539
554,#022,m4,UV,13.22920051,0.033550567
555,#258,m2,UV,13.22920051,0.033550567
556,#263,m1,UV,13.22920051,0.033550567
557,#009,m2,UV,13.23023955,0.033671253
558,#022,m2,UV,13.23023955,0.033671253
559,#006,m4,UV,13.23127783,0.033852281
560,#022,m5,UV,13.23127783,0.033852281
561,#970,m3,UV,13.23127783,0.033852281
562,#258,m1,UV,13.23231537,0.033972966
563,#282,m1,UV,13.23231537,0.033972966
564,#003,m5,UV,13.23335216,0.034153995
565,#289,m1,UV,13.23335216,0.034153995
566,#291,m3,UV,13.23335216,0.034153995
567,#003,m4,UV,13.2343882,0.034455708
568,#006,m1,UV,13.2343882,0.034455708
569,#131,m3,UV,13.2343882,0.034455708
570,#131,m3,UV,13.2343882,0.034455708
571,#970,m4,UV,13.2343882,0.034455708
572,#282,m3,UV,13.23542351,0.034516051
573,#006,m6,UV,13.23645807,0.034697079
574,#974,m1,UV,13.23645807,0.034697079
575,#974,m2,UV,13.23645807,0.034697079
576,#006,m1,UV,13.23749189,0.034817765
577,#263,m1,UV,13.23749189,0.034817765
578,#258,m1,UV,13.23852497,0.03493845
579,#258,m2,UV,13.23852497,0.03493845
580,#003,m3,UV,13.23955731,0.035059136
581,#022,m4,UV,13.23955731,0.035059136
582,#258,m2,UV,13.24058891,0.035179821
583,#282,m3,UV,13.24058891,0.035179821
584,#003,m2,UV,13.24161977,0.035421192
585,#009,m1,UV,13.24161977,0.035421192
586,#258,m1,UV,13.24161977,0.035421192
587,#970,m3,UV,13.24161977,0.035421192
588,#009,m1,UV,13.2426499,0.035541878
589,#258,m2,UV,13.2426499,0.035541878
590,#258,m2,UV,13.2436793,0.035602221
591,#006,m5,UV,13.24470796,0.035964277
592,#009,m3,UV,13.24470796,0.035964277
593,#022,m2,UV,13.24470796,0.035964277
594,#282,m3,UV,13.24470796,0.035964277
595,#974,m1,UV,13.24470796,0.035964277
596,#974,m2,UV,13.24470796,0.035964277
597,#003,m3,UV,13.24573588,0.036084963
598,#291,m1,UV,13.24573588,0.036084963
599,#009,m3,UV,13.24676308,0.036326334
600,#022,m2,UV,13.24676308,0.036326334
601,#022,m3,UV,13.24676308,0.036326334
602,#291,m1,UV,13.24676308,0.036326334
603,#022,m1,UV,13.24778954,0.036386676
604,#263,m1,UV,13.25086456,0.036507362
