,mouse_id,month,treatment,structure_volume
8086,#282,m1,No UV,13.2343882
3934,#022,m1,No UV,13.23542351
11453,#970,m1,No UV,13.23542351
11822,#970,m1,No UV,13.23749189
6810,#263,m1,No UV,13.23852497
2696,#009,m1,No UV,13.23955731
7196,#281,m1,No UV,13.23955731
12377,#974,m1,No UV,13.23955731
3155,#009,m1,No UV,13.24161977
11611,#970,m1,No UV,13.24161977
5623,#258,m1,No UV,13.2426499
2944,#009,m1,No UV,13.2436793
9221,#291,m1,No UV,13.2436793
12610,#974,m1,No UV,13.24470796
9240,#291,m1,No UV,13.24676308
707,#003,m1,No UV,13.24778954
10044,#303,m1,No UV,13.24778954
12420,#974,m1,No UV,13.24984028
1643,#006,m1,No UV,13.25086456
4213,#131,m1,No UV,13.25188811
8921,#289,m1,No UV,13.25188811
839,#003,m1,No UV,13.25495441
2922,#009,m1,No UV,13.25597507
8182,#282,m1,No UV,13.25597507
3123,#009,m1,No UV,13.256995
8066,#282,m1,No UV,13.256995
5824,#263,m1,No UV,13.26005048
3174,#009,m1,No UV,13.26106754
5434,#258,m1,No UV,13.26106754
9164,#291,m1,No UV,13.26106754
12675,#974,m1,No UV,13.26208388
1566,#006,m1,No UV,13.26512861
3766,#022,m1,No UV,13.26614209
8852,#289,m1,No UV,13.26614209
12226,#974,m1,No UV,13.26614209
8180,#282,m1,No UV,13.26715487
12338,#974,m1,No UV,13.26816693
724,#003,m1,No UV,13.26917828
1613,#006,m1,No UV,13.26917828
6371,#263,m1,No UV,13.26917828
9956,#303,m1,No UV,13.26917828
12529,#974,m1,No UV,13.26917828
10645,#317,m1,No UV,13.27119886
642,#003,m1,No UV,13.27220809
4216,#131,m1,No UV,13.27220809
12691,#974,m1,No UV,13.27220809
5498,#258,m1,No UV,13.27321662
7930,#282,m1,No UV,13.27422444
3002,#009,m1,No UV,13.27523156
7037,#281,m1,No UV,13.27925301
665,#003,m1,No UV,13.28025662
8000,#282,m1,No UV,13.28125954
11540,#970,m1,No UV,13.28326328
12401,#974,m1,No UV,13.28326328
2737,#009,m1,No UV,13.28426411
5246,#258,m1,No UV,13.28426411
11376,#970,m1,No UV,13.28426411
910,#003,m1,No UV,13.28526425
1858,#006,m1,No UV,13.28626369
10652,#317,m1,No UV,13.28626369
2620,#009,m1,No UV,13.28925787
3873,#022,m1,No UV,13.28925787
5803,#258,m1,No UV,13.29125054
3015,#009,m1,No UV,13.29224585
9308,#291,m1,No UV,13.29324047
12480,#974,m1,No UV,13.29522765
12594,#974,m1,No UV,13.29522765
1562,#006,m1,No UV,13.2972121
1775,#006,m1,No UV,13.2972121
12645,#974,m1,No UV,13.30018367
3923,#022,m1,No UV,13.30117283
5512,#258,m1,No UV,13.30314912
10500,#317,m1,No UV,13.30314912
11797,#970,m1,No UV,13.30314912
12399,#974,m1,No UV,13.30314912
5320,#258,m1,No UV,13.3061085
3012,#009,m1,No UV,13.30709361
1582,#006,m1,No UV,13.30906182
2851,#009,m1,No UV,13.30906182
5684,#258,m1,No UV,13.31004491
5820,#258,m1,No UV,13.31004491
10078,#303,m1,No UV,13.31004491
1714,#006,m1,No UV,13.3120091
8801,#289,m1,No UV,13.3120091
12462,#974,m1,No UV,13.3120091
4119,#131,m1,No UV,13.31397062
8929,#289,m1,No UV,13.31397062
11749,#970,m1,No UV,13.31397062
1814,#006,m1,No UV,13.31495038
3765,#022,m1,No UV,13.31495038
5678,#258,m1,No UV,13.31592947
5745,#258,m1,No UV,13.31592947
8810,#289,m1,No UV,13.3169079
8931,#289,m1,No UV,13.3169079
9231,#291,m1,No UV,13.3169079
12732,#974,m1,No UV,13.3169079
3189,#009,m1,No UV,13.31788567
6256,#263,m1,No UV,13.31788567
12238,#974,m1,No UV,13.31788567
6253,#263,m1,No UV,13.31983921
6499,#263,m1,No UV,13.320815
7030,#281,m1,No UV,13.320815
10399,#317,m1,No UV,13.32179012
3209,#009,m1,No UV,13.32276459
6753,#263,m1,No UV,13.32276459
8051,#282,m1,No UV,13.32276459
3041,#009,m1,No UV,13.32373839
6803,#263,m1,No UV,13.32373839
8117,#282,m1,No UV,13.32568404
6437,#263,m1,No UV,13.32665588
12604,#974,m1,No UV,13.32762706
5318,#258,m1,No UV,13.32956747
770,#003,m1,No UV,13.33150528
5721,#258,m1,No UV,13.33150528
2904,#009,m1,No UV,13.3324732
6594,#263,m1,No UV,13.3324732
9782,#303,m1,No UV,13.3324732
10387,#317,m1,No UV,13.3324732
1864,#006,m1,No UV,13.33344048
12400,#974,m1,No UV,13.33344048
767,#003,m1,No UV,13.33440711
4002,#022,m1,No UV,13.33537309
5677,#258,m1,No UV,13.33923057
3723,#022,m1,No UV,13.34019333
5322,#258,m1,No UV,13.34019333
6742,#263,m1,No UV,13.34019333
8861,#289,m1,No UV,13.34019333
11445,#970,m1,No UV,13.34019333
10443,#317,m1,No UV,13.34115545
10699,#317,m1,No UV,13.34115545
12513,#974,m1,No UV,13.34115545
10055,#303,m1,No UV,13.34211692
12503,#974,m1,No UV,13.34211692
7180,#281,m1,No UV,13.34403796
6679,#263,m1,No UV,13.34595643
1817,#006,m1,No UV,13.34787236
8657,#289,m1,No UV,13.34787236
10727,#317,m1,No UV,13.34882937
