mouse_id,month,treatment,structure_volume
#970,m3,UV,13.24161977
#009,m1,UV,13.2426499
#258,m2,UV,13.2426499
#258,m2,UV,13.2436793
#006,m5,UV,13.24470796
#009,m3,UV,13.24470796
#022,m2,UV,13.24470796
#282,m3,UV,13.24470796
#974,m1,UV,13.24470796
#974,m2,UV,13.24470796
#003,m3,UV,13.24573588
#291,m1,UV,13.24573588
#009,m3,UV,13.24676308
#022,m2,UV,13.24676308
#022,m3,UV,13.24676308
#291,m1,UV,13.24676308
#022,m1,UV,13.24778954
#263,m1,UV,13.25086456
#970,m1,UV,13.25086456
#022,m5,UV,13.25188811
#289,m1,UV,13.25188811
#974,m3,UV,13.25188811
#003,m5,UV,13.25291093
#003,m6,UV,13.25291093
#006,m1,UV,13.25291093
#003,m2,UV,13.25393303
#003,m3,UV,13.25393303
#003,m6,UV,13.25393303
#263,m1,UV,13.25393303
#303,m3,UV,13.25393303
#974,m2,UV,13.25393303
#006,m6,UV,13.25495441
#009,m4,UV,13.25495441
#022,m6,UV,13.25495441
#281,m1,UV,13.25495441
#970,m1,UV,13.25495441
#282,m3,UV,13.25597507
#970,m1,UV,13.25597507
#022,m1,UV,13.256995
#281,m1,UV,13.25801421
#131,m3,UV,13.2590327
#970,m6,UV,13.2590327
#970,m4,UV,13.26005048
#009,m1,UV,13.26106754
#009,m2,UV,13.26106754
#006,m5,UV,13.26208388
#263,m3,UV,13.26208388
#970,m3,UV,13.26208388
#009,m3,UV,13.2630995
#970,m1,UV,13.2630995
#291,m1,UV,13.26411441
#282,m3,UV,13.26512861
#970,m6,UV,13.26512861
#970,m6,UV,13.26512861
#022,m3,UV,13.26614209
#009,m2,UV,13.26715487
#974,m2,UV,13.26816693
#006,m2,UV,13.26917828
#006,m4,UV,13.26917828
#317,m2,UV,13.26917828
#131,m4,UV,13.27018893
#006,m5,UV,13.27119886
#289,m3,UV,13.27119886
#003,m1,UV,13.27220809
#022,m2,UV,13.27220809
#289,m1,UV,13.27220809
#303,m3,UV,13.27220809
#970,m3,UV,13.27220809
#006,m6,UV,13.27321662
#970,m1,UV,13.27321662
#009,m4,UV,13.27422444
#131,m1,UV,13.27422444
#281,m3,UV,13.27422444
#970,m5,UV,13.27623797
#974,m1,UV,13.27623797
#003,m3,UV,13.27724368
#009,m4,UV,13.27724368
#022,m1,UV,13.27724368
#974,m1,UV,13.27724368
#022,m6,UV,13.2782487
#022,m2,UV,13.2782487
#970,m1,UV,13.2782487
#006,m1,UV,13.27925301
#009,m2,UV,13.27925301
#022,m3,UV,13.27925301
#003,m1,UV,13.28025662
#281,m2,UV,13.28025662
#022,m1,UV,13.28226176
#131,m1,UV,13.28226176
#258,m2,UV,13.28326328
#281,m1,UV,13.28326328
#282,m1,UV,13.28326328
#303,m2,UV,13.28326328
#970,m1,UV,13.28326328
#006,m4,UV,13.28426411
#022,m1,UV,13.28426411
#022,m3,UV,13.28426411
#263,m1,UV,13.28426411
#263,m2,UV,13.28426411
#974,m1,UV,13.28526425
#003,m4,UV,13.28626369
#006,m2,UV,13.28626369
#003,m1,UV,13.28925787
#009,m3,UV,13.28925787
#022,m6,UV,13.28925787
#006,m2,UV,13.29025455
#009,m3,UV,13.29025455
#970,m1,UV,13.29125054
#003,m3,UV,13.29224585
#282,m2,UV,13.29224585
#970,m4,UV,13.29224585
#131,m1,UV,13.29324047
#303,m1,UV,13.2942344
#974,m2,UV,13.2942344
#009,m4,UV,13.29522765
#258,m2,UV,13.29522765
#263,m3,UV,13.29522765
#974,m1,UV,13.29522765
#974,m3,UV,13.29522765
#003,m6,UV,13.29622022
#006,m1,UV,13.29622022
#006,m4,UV,13.29622022
#003,m3,UV,13.2972121
#022,m4,UV,13.2972121
#281,m1,UV,13.2972121
#131,m1,UV,13.2982033
#258,m2,UV,13.2982033
#282,m1,UV,13.2982033
#006,m4,UV,13.30018367
#009,m4,UV,13.30018367
#009,m4,UV,13.30018367
#022,m3,UV,13.30018367
#258,m1,UV,13.30018367
#258,m2,UV,13.30018367
#970,m3,UV,13.30018367
#317,m3,UV,13.30117283
