mouse_id,month,treatment,volume,density
#003,m1,No UV,16.70170701,0.621795751
#003,m1,No UV,16.70638138,0.622069911
#003,m1,No UV,16.71540669,0.623303633
#003,m1,No UV,16.73154799,0.625771076
#003,m1,No UV,16.75294322,0.627964359
#003,m1,No UV,16.763209,0.629609321
#003,m1,No UV,16.81043366,0.63605209
#003,m1,No UV,16.81909176,0.637971213
#003,m1,No UV,16.81917808,0.638108293
#003,m1,No UV,16.82004099,0.638382454
#003,m1,No UV,16.82228214,0.638793694
#003,m1,No UV,16.82795562,0.639890336
#003,m1,No UV,16.83035582,0.640164496
#003,m1,No UV,16.85371947,0.64304318
#003,m1,No UV,16.85422503,0.64318026
#003,m1,No UV,16.86630558,0.645236463
#003,m1,No UV,16.87097639,0.645647704
#003,m1,No UV,16.88547596,0.648252228
#003,m1,No UV,16.89762574,0.649348869
#003,m1,No UV,16.89974963,0.649623029
#003,m1,No UV,16.90626514,0.650719671
#003,m1,No UV,16.91501467,0.652090473
#003,m1,No UV,16.92330998,0.653050034
#003,m1,No UV,16.94530586,0.654969157
#003,m1,No UV,16.96829532,0.657847841
#003,m1,No UV,16.97365634,0.658533242
#003,m1,No UV,16.99444481,0.661549006
#003,m1,No UV,17.00130826,0.662371487
#003,m1,No UV,17.0098041,0.66401645
#003,m1,No UV,17.01433494,0.664976011
#003,m1,No UV,17.02440274,0.666483893
#003,m1,No UV,17.02634809,0.666895134
#003,m1,No UV,17.03989252,0.668814256
#003,m1,No UV,17.03996659,0.668951337
#003,m1,No UV,17.05521775,0.670596299
#003,m1,No UV,17.07364174,0.674434544
#003,m1,No UV,17.1544749,0.68594928
#003,m1,No UV,17.15502213,0.686086361
#003,m1,No UV,17.16775478,0.687594243
#003,m1,No UV,17.1855411,0.689650446
#003,m1,No UV,17.18694655,0.689787526
#003,m1,No UV,17.2192268,0.694585332
#003,m1,No UV,17.23645807,0.697052776
#003,m1,No UV,17.24592854,0.698286498
#003,m1,No UV,17.27856262,0.701987663
#003,m1,No UV,17.28588898,0.702947224
#003,m1,No UV,17.30844704,0.706374229
#003,m1,No UV,17.33941114,0.710349554
#003,m1,No UV,17.3934554,0.716792324
#003,m1,No UV,17.40391039,0.718711446
#003,m1,No UV,17.42641012,0.72145305
#003,m1,No UV,17.42692,0.72172721
#003,m1,No UV,17.48492979,0.72858122
#003,m1,No UV,17.50336548,0.731185744
#003,m1,No UV,17.50631704,0.731596984
#003,m1,No UV,17.52109107,0.733516107
#003,m1,No UV,17.52363588,0.734338588
#003,m1,No UV,17.52950362,0.734749829
#003,m1,No UV,17.53576786,0.73557231
#003,m1,No UV,17.55605736,0.737491432
#003,m1,No UV,17.57017931,0.738588074
#003,m1,No UV,17.60413976,0.742015079
