mouse_id,month,treatment,volume,density
#003,m1,UV,17.75366602,0.724754605
#003,m1,UV,17.75795016,0.725695845
#003,m1,UV,17.79888105,0.730939895
#003,m1,UV,17.84136263,0.736452871
#003,m1,UV,17.86463377,0.739142127
#003,m1,UV,17.89205611,0.743176012
#003,m1,UV,17.90504572,0.74546188
#003,m1,UV,17.9092281,0.745865268
#003,m1,UV,17.91654846,0.746806508
#003,m1,UV,17.91670982,0.747075434
#003,m1,UV,17.92788016,0.748016673
#003,m1,UV,17.95884574,0.751512707
#003,m1,UV,17.97167741,0.752588409
#003,m1,UV,18.06598759,0.762538658
#003,m1,UV,18.09365429,0.765900229
#003,m1,UV,18.10314984,0.766707006
#003,m1,UV,18.13286535,0.769934113
#003,m1,UV,18.25810973,0.784456098
#003,m1,UV,18.28370123,0.78741428
#003,m1,UV,18.30453709,0.790910313
#003,m1,UV,18.31953415,0.792120479
#003,m1,UV,18.3923245,0.79884362
#003,m1,UV,18.39249854,0.798978083
#003,m1,UV,18.4095683,0.800726099
#003,m1,UV,18.43262962,0.803280893
#003,m1,UV,18.5156684,0.812558827
#003,m1,UV,18.52405958,0.813768993
#003,m1,UV,18.53453296,0.814710233
#003,m1,UV,18.54258021,0.815920398
#003,m1,UV,18.60200913,0.82076106
#003,m1,UV,18.61068736,0.821971225
#003,m1,UV,18.66670976,0.826946349
#003,m1,UV,18.69030838,0.830173457
#003,m1,UV,18.70512079,0.830980234
#003,m1,UV,18.74230803,0.834341804
#003,m1,UV,18.78250612,0.837568912
#003,m1,UV,18.82979899,0.842140648
#003,m1,UV,18.84287058,0.843350814
#003,m1,UV,18.85872511,0.844829905
#003,m1,UV,18.9242332,0.849536103
#003,m1,UV,18.95482461,0.851956434
#003,m1,UV,18.96240636,0.852897674
#003,m1,UV,18.96800339,0.853569988
#003,m1,UV,19.03742753,0.861368832
#003,m1,UV,19.06183521,0.863385774
#003,m1,UV,19.07103446,0.864327014
#003,m1,UV,19.08549597,0.866343956
#003,m1,UV,19.1463103,0.870377841
#003,m1,UV,19.14890534,0.870512303
#003,m1,UV,19.17544529,0.87226032
#003,m1,UV,19.17601833,0.872394783
#003,m1,UV,19.18198791,0.872798171
#003,m1,UV,19.18649495,0.87320156
#003,m1,UV,19.23886378,0.876832056
#003,m1,UV,19.27469661,0.880597015
#003,m1,UV,19.464118,0.892833132
#003,m1,UV,19.59014561,0.901169827
#003,m1,UV,19.60582949,0.901707678
#003,m1,UV,19.68645719,0.905472637
#003,m1,UV,19.70195279,0.906144951
#003,m1,UV,19.71693631,0.906682802
#003,m1,UV,19.77117303,0.909103133
#003,m1,UV,19.8580846,0.912868092
#003,m1,UV,19.98503087,0.91851553
#003,m1,UV,20.01805281,0.919860159
#003,m1,UV,20.13814248,0.923625118
#003,m1,UV,20.40484533,0.933575366
#003,m1,UV,20.41827736,0.934113218
#003,m1,UV,20.65785634,0.941643136
#003,m1,UV,21.04959562,0.953206938
#003,m1,UV,21.05199861,0.953475864
#003,m1,UV,21.05329263,0.953879252
#003,m1,UV,21.05329263,0.953879252
#003,m1,UV,21.05329263,0.953879252
#003,m1,UV,22.08938408,0.971090493
